authority_id,title,short_name,level,domain,issuing_body,issue_date,effective_date,current_status,source_site,source_url,file_url,crawl_status,parse_status,notes
law_cybersecurity_2016,中华人民共和国网络安全法,网络安全法,法律,网络安全,全国人大常委会,,2016-11-07,现行有效,cac,https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm,,已抓取,未解析,tier1_core
law_data_security_2021,中华人民共和国数据安全法,数据安全法,法律,数据合规,全国人大常委会,,2021-09-01,现行有效,cac,https://www.cac.gov.cn/2021-06/11/c_1624994566919140.htm,,已抓取,未解析,tier1_core
law_pipl_2021,中华人民共和国个人信息保护法,个人信息保护法,法律,数据合规,全国人大常委会,,2021-11-01,现行有效,cac,https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm,,已抓取,未解析,tier1_core
reg_network_data_security_2025,网络数据安全管理条例,网络数据安全管理条例,行政法规,数据合规,国务院,,2025-01-01,现行有效,cac,https://www.cac.gov.cn/2024-09/30/c_1729384452307680.htm,,已抓取,未解析,tier1_core
reg_ciio_security_2021,关键信息基础设施安全保护条例,关基条例,行政法规,网络安全,国务院,,2021-09-01,现行有效,gov,https://www.gov.cn/zhengce/content/2021-08/17/content_5631671.htm,,已抓取,未解析,tier1_core
rule_cybersecurity_review_2021,网络安全审查办法,网安审查办法,部门规章,网络安全,网信办等,,2022-02-15,现行有效,cac,https://www.cac.gov.cn/2022-01/04/c_1642894602182845.htm,,已抓取,未解析,tier1_core
rule_data_export_security_assessment_2022,数据出境安全评估办法,出境安全评估办法,部门规章,数据合规,网信办,,2022-09-01,现行有效,cac,https://www.cac.gov.cn/2022-07/07/c_1658811536396503.htm,,已抓取,未解析,tier1_core
rule_pi_export_std_contract_2023,个人信息出境标准合同办法,个信出境标准合同办法,部门规章,数据合规,网信办,,2023-06-01,现行有效,cac,https://www.cac.gov.cn/2023-02/24/c_1678884830036813.htm,,已抓取,未解析,tier1_core
rule_cross_border_data_flow_2024,促进和规范数据跨境流动规定,数据跨境流动规定,部门规章,数据合规,网信办,,2024-03-22,现行有效,cac,https://www.cac.gov.cn/2024-03/22/c_1712776611775634.htm,,已抓取,未解析,tier1_core
rule_algo_recommend_2021,互联网信息服务算法推荐管理规定,算法推荐规定,部门规章,平台治理,网信办等,,2022-03-01,现行有效,cac,https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm,,已抓取,未解析,tier1_core
rule_deep_synthesis_2022,互联网信息服务深度合成管理规定,深度合成规定,部门规章,平台治理,网信办等,,2023-01-10,现行有效,cac,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,,已抓取,未解析,tier1_core
rule_genai_2023,生成式人工智能服务管理暂行办法,生成式AI办法,部门规章,AI治理,网信办等,,2023-08-15,现行有效,cac,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,已抓取,未解析,tier1_core
law_cryptography_2019,中华人民共和国密码法,密码法,法律,网络安全,全国人大常委会,,2020-01-01,现行有效,cac,https://www.cac.gov.cn/2019-10/27/c_1573711980953641.htm,,已抓取,未解析,tier2_ext
law_e_signature_2019,中华人民共和国电子签名法,电子签名法,法律,数据合规,全国人大常委会,,2019-04-23,现行有效,cac,https://www.cac.gov.cn/2004-08/28/c_126468489.htm,,已抓取,未解析,tier2_ext
law_civil_code_privacy_pi_2020,民法典（隐私权和个人信息保护相关条款）,民法典隐私个信条款,法律,数据合规,全国人大,,2021-01-01,现行有效,flk,,,失败,未解析,tier2_ext
law_anti_telecom_fraud_2022,中华人民共和国反电信网络诈骗法,反电信网络诈骗法,法律,网络安全,全国人大常委会,,2022-12-01,现行有效,flk,http://www.npc.gov.cn/c2/c30834/202209/t20220902_319186.html,,已抓取,未解析,tier2_ext
law_minors_protection_2020,中华人民共和国未成年人保护法,未成年人保护法,法律,平台治理,全国人大常委会,,2021-06-01,现行有效,flk,http://www.npc.gov.cn/c2/c30834/202010/t20201017_308279.html,,已抓取,未解析,tier2_ext
reg_commercial_cipher_2023,商用密码管理条例,商用密码条例,行政法规,网络安全,国务院,,2023-07-01,现行有效,gov,https://www.gov.cn/zhengce/content/202305/content_6875927.htm,,已抓取,未解析,tier2_ext
reg_minors_network_2023,未成年人网络保护条例,未成年人网络保护条例,行政法规,平台治理,国务院,,2024-01-01,现行有效,cac,https://www.cac.gov.cn/2023-10/24/c_1699806932316206.htm,,已抓取,未解析,tier2_ext
reg_state_secrets_impl_2024,保守国家秘密法实施条例,保密法实施条例,行政法规,网络安全,国务院,,2024-09-01,现行有效,gov,https://www.gov.cn/zhengce/zhengceku/202407/content_6963934.htm,,已抓取,未解析,tier2_ext
reg_online_gov_services_2019,国务院关于在线政务服务的若干规定,在线政务服务规定,行政法规,数据合规,国务院,,2019-04-30,现行有效,gov,https://www.gov.cn/zhengce/content/2019-04/30/content_5387879.htm,,已抓取,未解析,tier2_ext
rule_auto_data_security_2021,汽车数据安全管理若干规定（试行）,汽车数据安全规定,部门规章,数据合规,网信办等,,2021-10-01,现行有效,cac,https://www.cac.gov.cn/2021-08/20/c_1631049984897667.htm,,已抓取,未解析,tier2_ext
rule_user_account_info_2022,互联网用户账号信息管理规定,账号信息管理规定,部门规章,平台治理,网信办,,2022-08-01,现行有效,cac,https://www.cac.gov.cn/2022-06/26/c_1657868775042841.htm,,已抓取,未解析,tier2_ext
rule_content_ecology_2019,网络信息内容生态治理规定,内容生态治理规定,部门规章,平台治理,网信办,,2020-03-01,现行有效,cac,https://www.cac.gov.cn/2019-12/20/c_1578375159509309.htm,,已抓取,未解析,tier2_ext
rule_children_pi_network_2019,儿童个人信息网络保护规定,儿童个信网络保护规定,部门规章,数据合规,网信办,,2019-10-01,现行有效,cac,https://www.cac.gov.cn/2019-08/23/c_1124913903.htm,,已抓取,未解析,tier2_ext
rule_blockchain_info_service_2019,区块链信息服务管理规定,区块链信息服务规定,部门规章,平台治理,网信办,,2019-02-15,现行有效,cac,https://www.cac.gov.cn/2019-01/10/c_1123971164.htm,,已抓取,未解析,tier2_ext
rule_telecom_internet_pi_2013,电信和互联网用户个人信息保护规定,电信互联网个信保护规定,部门规章,数据合规,工信部,,2013-09-01,现行有效,cac,https://www.cac.gov.cn/2012-07/29/c_133142088.htm,,已抓取,未解析,tier2_ext
rule_internet_news_service_2017,互联网新闻信息服务管理规定,互联网新闻服务规定,部门规章,平台治理,网信办,,2017-06-01,现行有效,cac,https://www.cac.gov.cn/2017-05/02/c_1120902760.htm,,已抓取,未解析,tier2_ext
rule_online_violence_governance_2024,网络暴力信息治理规定,网暴治理规定,部门规章,平台治理,网信办,,2024-08-01,现行有效,cac,https://www.cac.gov.cn/2024-06/14/c_1720043894161555.htm,,已抓取,未解析,tier2_ext
rule_cac_enforcement_procedure_2023,网信部门行政执法程序规定,网信执法程序规定,部门规章,AI治理,网信办,,2023-06-01,现行有效,cac,https://www.cac.gov.cn/2023-03/23/c_1681211418907384.htm,,已抓取,未解析,tier2_ext
